,M,%NecONG,%NecRO,%NecRA,%VolONG,%VolRO,%VolRA,SuONG,SuRO,VisONG,VisRO,VisRA,Dis,Dias,Camp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,%Comp
10,2,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.5454545455,0.5454545455,0.5454545455,0,0,0.0,0.0,0.0,1.1594534489,-627,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7260273973
11,2,0.5700000000000001,0.5700000000000001,0.6133004926,0.5,0.5,0.6031746032,0,0,0.0,0.0,0.1,1.1594534489,-622,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5957446809
12,2,0.6034482759,0.6034482759,0.1106454317,0.6875,0.6875,0.47727272730000003,0,0,0.0,0.0,0.7142857143,1.1594534489,-608,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8157894737
13,2,0.65,0.65,0.6133004926,0.75,0.75,0.6031746032,0,0,0.0,0.0,0.1,1.1594534489,-607,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5909090909
14,3,0.6833333333,0.627388535,0.6133004926,0.8333333333,0.6666666667000001,0.6031746032,0,3,0.0,0.8571428571,0.1,1.1594534489,-602,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.65625
15,3,0.5972222222,0.5972222222,0.6209677419,0.4705882353,0.4705882353,0.37037037040000004,0,0,0.0,0.0,0.0,1.1594534489,-591,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7083333333
16,3,0.6034482759,0.6034482759,0.1106454317,0.6875,0.6875,0.47727272730000003,0,0,0.0,0.0,0.7142857143,1.1594534489,-584,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5
17,3,0.6916666667,0.6916666667,0.5466666667,0.4666666667,0.4666666667,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-580,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5757575758
18,4,0.6842105263,0.6842105263,0.6842105263,0.4666666667,0.4666666667,0.4666666667,0,0,0.0,0.0,0.0,1.1594534489,-206,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48484848480000003
19,4,0.8224299065,0.8224299065,0.5,0.37037037040000004,0.37037037040000004,0.75,0,0,0.0,0.0,0.0,1.1594534489,-560,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5384615385
20,4,0.5666666667,0.5666666667,0.5466666667,0.47368421050000004,0.47368421050000004,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-559,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7352941176000001
21,4,0.5700000000000001,0.5700000000000001,0.6133004926,0.5,0.5,0.6031746032,0,0,0.0,0.0,0.1,1.1594534489,-549,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5454545455
22,5,0.65,0.65,0.6209677419,0.75,0.75,0.37037037040000004,0,0,0.0,0.0,0.0,1.1594534489,-542,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.65625
23,5,0.5972222222,0.5972222222,0.6133004926,0.4705882353,0.4705882353,0.6031746032,0,0,0.0,0.0,0.1,1.1594534489,-530,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6071428571
24,5,0.6916666667,0.6916666667,0.7520661157,0.4666666667,0.4666666667,0.5,0,0,0.0,0.0,1.0,1.1594534489,-518,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.303030303
25,5,0.6034482759,0.6034482759,0.5466666667,0.6875,0.6875,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-523,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4444444444
26,6,0.6833333333,0.627388535,0.6133004926,0.8333333333,0.6666666667000001,0.6031746032,0,3,0.0,0.8571428571,0.1,1.1594534489,-510,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.7352941176000001
27,6,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.5454545455,0.5454545455,0.5454545455,0,0,0.0,0.0,0.0,1.1594534489,-493,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5789473684
28,6,0.8224299065,0.8224299065,0.6209677419,0.37037037040000004,0.37037037040000004,0.37037037040000004,0,0,0.0,0.0,0.0,1.1594534489,-499,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5777777778000001
29,2,0.6141732283,0.627388535,0.6209677419,0.6444444444,0.6666666667000001,0.37037037040000004,3,3,1.2,0.8571428571,0.0,1.1594534489,109,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.46
30,8,0.6141732283,0.627388535,0.6133004926,0.6444444444,0.6666666667000001,0.6031746032,3,3,1.2,0.8571428571,0.1,1.1594534489,279,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.6052631579000001
31,6,0.6842105263,0.6842105263,0.6842105263,0.4666666667,0.4666666667,0.4666666667,0,0,0.0,0.0,0.0,1.1594534489,-488,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857143
32,7,0.5972222222,0.5972222222,0.6133004926,0.4705882353,0.4705882353,0.6031746032,0,0,0.0,0.0,0.1,1.1594534489,-481,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.4594594595
33,7,0.6034482759,0.6034482759,0.1106454317,0.6875,0.6875,0.47727272730000003,0,0,0.0,0.0,0.7142857143,1.1594534489,-468,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6470588235
34,7,0.5666666667,0.5666666667,0.5466666667,0.47368421050000004,0.47368421050000004,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-463,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.525
35,7,0.5700000000000001,0.5700000000000001,0.6133004926,0.5,0.5,0.6031746032,0,0,0.0,0.0,0.1,1.1594534489,-458,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5277777778
36,8,0.65,0.65,0.1106454317,0.75,0.75,0.47727272730000003,0,0,0.0,0.0,0.7142857143,1.1594534489,-449,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.7058823529
37,8,0.8224299065,0.8224299065,0.1106454317,0.37037037040000004,0.37037037040000004,0.47727272730000003,0,0,0.0,0.0,0.7142857143,1.1594534489,-442,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9411764706
38,1,0.6141732283,0.627388535,0.1106454317,0.6444444444,0.6666666667000001,0.47727272730000003,3,3,1.2,0.8571428571,0.7142857143,1.1594534489,82,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.7317073171
39,8,0.6916666667,0.6916666667,0.7520661157,0.4666666667,0.4666666667,0.5,0,0,0.0,0.0,1.0,1.1594534489,-436,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571
4,1,0.6916666667,0.6916666667,0.7520661157,0.4666666667,0.4666666667,0.5,0,0,0.0,0.0,1.0,1.1594534489,-639,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9117647059
40,10,0.6141732283,0.627388535,0.7520661157,0.6444444444,0.6666666667000001,0.5,3,3,1.2,0.8571428571,1.0,1.1594534489,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375
41,5,0.0009832842000000001,0.0009832842000000001,0.1106454317,0.0666666667,0.0666666667,0.47727272730000003,1,2,5.0,5.0,0.7142857143,0.0,193,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019379845
5,10,0.6141732283,0.627388535,0.6133004926,0.6444444444,0.6666666667000001,0.6031746032,3,3,1.2,0.8571428571,0.1,1.1594534489,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7708333333
7,1,0.5666666667,0.5666666667,0.5466666667,0.47368421050000004,0.47368421050000004,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-643,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4
8,1,0.8224299065,0.8224299065,0.7520661157,0.37037037040000004,0.37037037040000004,0.5,0,0,0.0,0.0,1.0,1.1594534489,-653,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8965517241000001
9,1,0.6842105263,0.6842105263,0.6842105263,0.4666666667,0.4666666667,0.4666666667,0,0,0.0,0.0,0.0,1.1594534489,-661,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7380952381
